path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
notes\价格形态高频偏度与分析师因子学习笔记.md,价格形态高频偏度与分析师因子学习笔记.md,.md,5760,2026-05-23T17:02:26,notes,markdown,factor,P1,new,skim_then_extract
notes\动态风险控制预期调整与宏观敏感性学习笔记.md,动态风险控制预期调整与宏观敏感性学习笔记.md,.md,5800,2026-05-23T17:21:39,notes,markdown,risk|macro,P1,new,skim_then_extract
notes\华泰AI因子挖掘_GP与AlphaNet学习笔记.md,华泰AI因子挖掘_GP与AlphaNet学习笔记.md,.md,5650,2026-05-23T16:35:16,notes,markdown,factor|ml,P1,new,skim_then_extract
notes\华泰因子合成技术因子历史分位数学习笔记.md,华泰因子合成技术因子历史分位数学习笔记.md,.md,4929,2026-05-23T12:39:57,notes,markdown,factor,P1,new,skim_then_extract
notes\华泰换手率波动率财务质量一致预期学习笔记.md,华泰换手率波动率财务质量一致预期学习笔记.md,.md,6065,2026-05-23T12:33:12,notes,markdown,risk|execution,P1,new,skim_then_extract
notes\历史财务因子溢价高频波动分解分位数回归学习笔记.md,历史财务因子溢价高频波动分解分位数回归学习笔记.md,.md,5419,2026-05-23T17:10:03,notes,markdown,factor|risk,P1,new,skim_then_extract
notes\回测因子挖掘组合风控学习笔记.md,回测因子挖掘组合风控学习笔记.md,.md,6594,2026-05-22T21:52:11,notes,markdown,backtest|factor|portfolio|risk,P1,new,skim_then_extract
notes\回测检查清单.md,回测检查清单.md,.md,3539,2026-07-21T16:43:50,notes,markdown,backtest,P1,new,skim_then_extract
notes\因子季节效应主动成交与深度学习特征工程学习笔记.md,因子季节效应主动成交与深度学习特征工程学习笔记.md,.md,9377,2026-05-23T11:39:18,notes,markdown,factor|ml,P1,new,skim_then_extract
notes\因子拥挤与失效预警学习笔记.md,因子拥挤与失效预警学习笔记.md,.md,5412,2026-05-22T22:09:36,notes,markdown,factor,P1,new,skim_then_extract
notes\因子拥挤扩展学习笔记.md,因子拥挤扩展学习笔记.md,.md,4894,2026-05-22T22:12:41,notes,markdown,factor,P1,new,skim_then_extract
notes\因子正交加权择时学习笔记.md,因子正交加权择时学习笔记.md,.md,6300,2026-05-22T21:59:53,notes,markdown,factor|timing,P1,new,skim_then_extract
notes\因子评价检查清单.md,因子评价检查清单.md,.md,3352,2026-07-21T16:43:50,notes,markdown,factor,P1,new,skim_then_extract
notes\因子降维预期质量与因子择时学习笔记.md,因子降维预期质量与因子择时学习笔记.md,.md,5618,2026-05-23T17:17:16,notes,markdown,factor|timing,P1,new,skim_then_extract
notes\国别风险情绪主观信念隐性杠杆学习笔记.md,国别风险情绪主观信念隐性杠杆学习笔记.md,.md,6488,2026-05-23T16:30:00,notes,markdown,risk|sentiment,P1,new,skim_then_extract
notes\尾部相关极值因子与净换手率学习笔记.md,尾部相关极值因子与净换手率学习笔记.md,.md,5641,2026-05-23T18:11:25,notes,markdown,factor|execution,P1,new,skim_then_extract
notes\技术指标信号验证与因子卡模板学习笔记.md,技术指标信号验证与因子卡模板学习笔记.md,.md,3391,2026-05-23T12:19:26,notes,markdown,factor|timing,P1,new,skim_then_extract
